Atrichoblast/Lateral root cap,Atrichoblast,Columella,Cortex,Epidermis,Lateral root cap/Columella,Lateral root cap,Pericycle,Phloem,Protoxylem/Cortex,Quiescent center,Root endodermis,Stele,Stem cell niche,Trichoblast,Xylem pole pericycle,Xylem
0.101675841,0.053823293,0.13284893,0.065963855,0.040506494,0.099810526,0.110110933,0.072653766,0.038820104,0.021572917,0.076138211,0.071971186,0.10927291,0.065653659,0.042616162,0.158854037,0.104751938
0.024522936,0.02631593,0.006520053,0.042210174,0.006701299,0.010773684,0.012189828,0.017450837,0.009836059,0.054604167,0,0.009576271,0.016489426,0.014370732,0,0.002781056,0.024670543
0,0.001583668,0,0.001392236,0,0,0.001084501,0.002666318,0.001702832,0,0,0.001452542,0.00724572,0,0.007939394,0.002732919,0
0.120810398,0.113179384,0.005453209,0,0.008064935,0,0.069956748,0.000951883,0.000748704,0,0.047113821,0.001964407,0.003039275,0.140136585,0,0.005951863,0.146600775
0.18364526,0.157927711,0.092545455,0.044666667,0.043935065,0.059273684,0.181329195,0.295165272,0.302166733,0.185145833,0.168626016,0.155659322,0.209627392,0.234609756,0.02569697,0.096274845,0.101790698
0.072207951,0.102645248,0.042046791,0.057040161,0.094422078,0.021057895,0.048031237,0.099437238,0.049998803,0.052333333,0.024056911,0.092742373,0.068160121,0.066712195,0.145742424,0.142063665,0.046
0.032455657,0.042523427,0.032763369,0.038646586,0,0.020168421,0.034523829,0.058084728,0.034652573,0.079671875,0.064894309,0.047552542,0.046122356,0.017487805,0.007186869,0.041774845,0.076395349
0.421238532,0.734473896,0.044336898,0.122712182,0.088032468,0.007331579,0.529415699,0.116988494,0.061384922,0.291666667,0.116138211,0.240257627,0.298058409,0.788785366,0.296313131,0.246846273,1.268286822
0.148522936,0.001756359,0.007554813,0.002554217,0,0.011521053,0.068140969,0,0.00038213,0,0.011674797,0,0,0.052234146,0,0,0
0.015195719,0.044267738,0.006054813,0.02819411,0,0.036415789,0.01610813,0.062771967,0.068881931,0.101880208,0.044211382,0.081140678,0.070839879,0.048487805,0.128383838,0.019086957,0.172945736
0.003434251,0.030266399,0.002347594,0.020022758,0,0,0.008290348,0.004865063,0.006136418,0.003604167,0.008479675,0.016908475,0.030425478,0.041092683,0,0.008649068,0.010697674
0.065733945,0.082227577,0.002525401,0.018329317,0,0.009268421,0.072237085,0.008164226,0.010280814,0.005692708,0.295487805,0.004613559,0.017247734,0.255512195,0.005474747,0.008301242,0.004344961
0,0,0.003410428,0,0,0,0.002196235,0.011587866,0.086901875,0.34915625,0,0.008477966,0.188900806,0.014887805,0.008106061,0.008819876,0.042162791
0.004828746,0,0,0,0,0,0,0.005165272,0.018798165,0,0,0,0.007204431,0,0,0,0
0.004828746,0.012646586,0,0.010961178,0,0,0.002448138,0.002879707,0,0,0,0,0.007348439,0.005146341,0,0.017198758,0
0.089990826,0.113931727,0.055049465,0.072125837,0.129324675,0.046342105,0.098088907,0.056828452,0.053207419,0.107,0.148235772,0.093416949,0.095317724,0.11984878,0.165429293,0.056298137,0.181445736
0.10764526,0.019615797,0.121812834,0.086526104,0.015357143,0.023278947,0.075468963,0.105997908,0.145028321,0.077880208,0.241487805,0.035115254,0.071241188,0.037517073,0,0.009003106,0.032003876
0.207629969,0.128623829,0.296864973,0.278044177,0.164376623,0.269736842,0.224305567,0.065023013,0.06815357,0.086348958,0.287520325,0.252174576,0.088586606,0.107336585,0.039838384,0.013100932,0.043205426
0.019088685,0.029690763,0.002570856,0.019251673,0,0,0.010834602,0.024965481,0.010247308,0,0.02203252,0.004045763,0.015782981,0.024390244,0,0.031496894,0.007655039
0,0.023514056,0,0.003447122,0,0,0.004861033,0.002117155,0.004130036,0,0.010138211,0,0.012331823,0.008404878,0,0.020159938,0.003906977
0.110663609,0.012827309,0.107296791,0.093406961,0.030415584,0,0.104225471,0.392040795,0.37773913,0.998567708,0.334642276,0.465910169,0.033334844,0.047019512,0.06109596,0.003835404,0.060767442
0.009629969,0,0.002840909,0.038780455,0,0.009684211,0.004171005,0.107333682,0.054309932,0.020239583,0,0.03080339,0.018707956,0.016697561,0,0,0.014546512
0.466284404,0.186891566,0.334504011,0.42731593,0.093272727,0.204694737,0.383967161,0.770662134,0.482401675,0.370328125,0.333796748,0.216220339,0.351575529,0.095980488,0.138242424,0.056189441,0.030934109
0.009941896,0.026078983,0,0.024987952,0,0,0.004106127,0,0,0,0,0.003094915,0.000710473,0,0.074828283,0,0
0.094262997,0.020930388,0.029637701,0.048645248,0,0,0.076863036,0.248256276,0.138977663,0.08653125,0.158317073,0.544398305,0.067005539,0.046131707,0.03690404,0.095521739,0.153496124
0.299027523,0.387630522,0.04536631,0.21294913,0.192467532,0,0.272328394,0.25550523,0.162873155,0.070953125,0.72095935,0.202557627,0.455876636,0.410439024,0.111338384,0.663052795,0.007081395
0.100382263,0.009092369,0.628355615,0.029281124,0.032844156,0.115205263,0.086263116,0.003425732,0.011412046,0.009453125,0.156,0.009871186,0.006939577,0.01622439,0.040676768,0.003041925,0
0.02104893,0.016172691,0.019590909,0.043485944,0.024324675,0.034073684,0.023852223,0.103811715,0.104071001,0.096744792,0.067918699,0.083981356,0.085181772,0.021770732,0.008161616,0.051437888,0.013643411
0.050036697,0.07301071,0.143486631,0.139334672,0.147116883,0.207073684,0.057759712,0.107282427,0.083365776,0.05375,0.084154472,0.258005085,0.124206949,0.018546341,0.093878788,0.121498447,0.029593023
0.027669725,0.015583668,0.008604278,0.004728246,0.019863636,0,0.015856628,0.009559623,0.005515756,0.00425,0.008325203,0,0.006157603,0.025112195,0.036191919,0,0
0.056363914,0.024617135,0.007679144,0.022680054,0.008025974,0.022726316,0.023442531,0.034872385,0.019556442,0,0.021373984,0.027755932,0.034769889,0.041678049,0.042090909,0.01248913,0.007813953
0.254620795,0.387690763,0.18206016,0.264744311,0.366876623,0.153515789,0.241680016,0.210094142,0.192526127,0.189390625,0.223195122,0.305488136,0.285951158,0.36562439,0.306257576,0.282664596,0.411108527
0.028440367,0.026092369,0,0.005313253,0.008025974,0,0.012519824,0,0.003309533,0,0.025699187,0,0.002848439,0.320507317,0.005843434,0.007976708,0
0.003859327,0.014835341,0,0.145728246,0,0.010647368,0.002307169,0.082176778,0.025270044,0,0,0.039264407,0.09758862,0.016502439,0,0.125717391,0
0.049776758,0.090198126,0.031065508,0.055024096,0.046103896,0.011473684,0.042851021,0.092195607,0.047386119,0.055776042,0.007926829,0.029335593,0.08856143,0.101941463,0.014893939,0.101759317,0.03098062
0,0.005605087,0.004725936,0.073294511,0,0,0.004795354,0.028617155,0.012772637,0.012208333,0.012658537,0.027969492,0.018060423,0.006273171,0,0.058712733,0
0.384657492,0.142821954,0.041354278,0.00448996,0,0,0.355203845,0,0,0,0.190260163,0.008722034,0.002066465,0.287014634,0,0,0
0,0.004361446,0,0,0,0,0.001560272,0.001291841,0,0,0,0,0.007419436,0,0,0,0.003910853
0.02764526,0.004820616,0.022402406,0.015360107,0,0,0.017980376,0.030364017,0.016867571,0.0231875,0.026146341,0.013388136,0.02108862,0,0.006272727,0.016659938,0.009255814
0.401834862,0.117303882,0.80015508,0.271037483,0.25037013,0.315031579,0.438181818,0.049300209,0.100432389,0.124541667,0.100422764,0.214033898,0.067945619,0.160443902,0.12970202,0.021392857,0.034643411
0.01259633,0.026204819,0,0.005282463,0.005038961,0,0.018358831,0.004124477,0.008524531,0.010432292,0.059821138,0.007838983,0.031291037,0.024312195,0,0.036082298,0.016635659
0.507623853,0.013366801,0.13025,0.040329317,0.040220779,0.081494737,0.284594313,0.00759728,0.000629039,0.006369792,0,0.009313559,0,0.061087805,0.034565657,0,0.022585271
0.021761468,0.010156627,0.021862299,0.022096386,0.024824675,0.024142105,0.010693632,0.031680962,0.020457918,0.014963542,0.032617886,0.062698305,0.034740181,0.031263415,0.016712121,0.046984472,0
0.021434251,0.066341365,0.003076203,0.044593039,0.035941558,0.011936842,0.037241089,0.044872385,0.016665736,0.007760417,0.073504065,0.047247458,0.056663142,0.039541463,0.034474747,0.051487578,0.066054264
0.04404893,0.021741633,0.036923797,0.033504685,0.035337662,0.044142105,0.065462155,0.053942469,0.042644994,0.03421875,0.05000813,0.01790339,0.024493454,0.022912195,0.005343434,0.019206522,0
0.066360856,0.141919679,0.013008021,0.107749665,0.052402597,0,0.076370044,0.040061715,0.031366574,0.054463542,0.033162602,0.120237288,0.190207452,0.157268293,0.048858586,0.199074534,0.181914729
0,0.003073628,0,0.019859438,0,0,0,0.024717573,0.003832469,0,0,0.005330508,0.017665156,0.010673171,0.005772727,0.008917702,0.013155039
0.03204893,0.025360107,0.021618984,0.008740295,0.016454545,0,0.018382459,0.012743724,0.027824491,0.012010417,0.071634146,0.001469492,0.0169572,0.015126829,0.014792929,0.028195652,0.004217054
0.010110092,0.012294511,0.003270053,0.077167336,0.084448052,0,0.004981578,0.001539749,0.002191065,0,0,0.076361017,0.02019285,0.009497561,0.100313131,0.011804348,0.014790698
0.319287462,0.089888889,0.12903877,0.3902249,0.176149351,0.141873684,0.194651181,0.545868201,0.713576386,0.924177083,0.110821138,0.360838983,0.29287714,0.104297561,0.132419192,0.097504658,0.195782946
0,0.048942436,0,0.014971888,0.012376623,0.007331579,0.002919904,0.079052301,0.02770004,0.006458333,0,0.011286441,0.268485901,0.102517073,0,0.766080745,0.010034884
0.023480122,0.00511245,0.045823529,0.024250335,0,0.066136842,0.028160593,0.021432008,0.028028321,0.0193125,0.024414634,0.035116949,0.010816717,0.031443902,0.013287879,0.003635093,0.064825581
0.163409786,0.070392236,0.221620321,0.098455154,0.152363636,0.063357895,0.157464157,0.022093096,0.018740726,0.02871875,0.108642276,0.027538983,0.03622004,0.078058537,0.22810101,0.030265528,0.041744186
0.007116208,0.00869344,0,0.003186078,0.013766234,0,0,0.051564854,0.093520144,0.11059375,0,0.008833898,0.118954683,0.047804878,0,0.074554348,0.085418605
0.228217125,0.172239625,0.134593583,0.152487282,0.129857143,0.110284211,0.197537845,0.194111925,0.105407659,0.167130208,0.258585366,0.2781,0.184376636,0.092385366,0.441505051,0.15747205,0.555937984
0,0,0,0.011738956,0,0,0,0.003816946,0.007094136,0,0,0.002530508,0.029063948,0.010492683,0,0.016978261,0
1.035033639,0.362352075,0.884731283,0.900195448,0.400831169,0.723015789,1.117774129,0.689769874,0.583743917,0.698958333,0.549642276,0.100430508,0.3978429,0.483209756,0.517505051,0.098987578,0.483062016
0,0,0,0.00962249,0,0,0,0,0,0,0,0.108118644,0,0,0,0,0
0.039819572,0.032882195,0.043458556,0.027338688,0.013350649,0,0.03428314,0.063622385,0.080098125,0.05346875,0.027536585,0.021615254,0.058459215,0.017121951,0,0.037448758,0.019883721
0.018030581,0.00564257,0,0.003511379,0,0,0.009912295,0.012719665,0.026465497,0.051536458,0.02602439,0.005391525,0.015289023,0.008282927,0,0.005975155,0.020542636
0.198171254,0.185927711,0.089858289,0.198941098,0.112032468,0.100363158,0.1494165,0.228362971,0.162093738,0.248322917,0.288365854,0.226791525,0.100329809,0.098043902,0.263217172,0.088809006,0.241806202
0.107926606,0.011293173,0.029822193,0.158277108,0.032409091,0.016436842,0.053188226,0.099101464,0.148204627,0.306427083,0.014902439,0.207037288,0.185425478,0.022917073,0.022434343,0.034518634,0.180635659
0,0.002416332,0,0.006297189,0,0,0.000817781,0.126442469,0.068824093,0.116390625,0.028455285,0.022494915,0.001424975,0.012634146,0.013237374,0,0
0.014324159,0.011500669,0.010620321,0.016253012,0,0.010931579,0.024481778,0.012059623,0.010214599,0.019239583,0.01795935,0.019869492,0.005901309,0.003473171,0,0,0
0.036486239,0.044654618,0.014724599,0.014599732,0,0.010957895,0.040591109,0.01934728,0.019188672,0.0046875,0.008455285,0.002130508,0.041347432,0.13517561,0,0.048215839,0.014895349
0.020382263,0.002255689,0.00193984,0.003187416,0,0,0.002718462,0.005719665,0.004172716,0.010901042,0,0.026422034,0.009083585,0,0,0,0
0.047165138,0.088283802,0.014962567,0.020597055,0,0.0094,0.059744894,0.054679916,0.029339051,0.004083333,0.029105691,0.012776271,0.043664653,0.060995122,0,0.043854037,0.010050388
0.054651376,0.139654618,0.005022727,0.047507363,0.01461039,0.013189474,0.058828594,0.027194561,0.065169525,0.05784375,0.085243902,0.042749153,0.059433031,0.011487805,0.013015152,0.005468944,0.007368217
0.243816514,0.227473896,0.014494652,0.065092369,0.065402597,0,0.152501802,0.033819038,0.072473873,0.039291667,0.356300813,0.04730339,0.160076032,0.435682927,0.033212121,0.084843168,0.00874031
0.03930581,0.016190094,0.016572193,0.014890228,0.04912987,0.034752632,0.028948738,0.032563808,0.014494615,0.015848958,0,0.030911864,0.017981873,0.035068293,0.030974747,0.025220497,0
0.069250765,0.009147256,0.073125668,0.068491299,0.030597403,0.010663158,0.038150981,0.040222803,0.023086558,0.028729167,0.058666667,0.035081356,0.009060926,0.026102439,0.028535354,0.003459627,0
0.049795107,0.04023427,0.027990642,0.049625167,0.025896104,0,0.034252303,0.034142259,0.045118069,0.056473958,0.015756098,0.030828814,0.025489426,0.038180488,0.014257576,0.016801242,0.034775194
